country,year,HDI_for_year,gdp_for_year,gdp_per_capita,suicides_no,population,suicide_rate,region
Albania,2000,0.656,3632043908,1299,4,233025,2.558333333,Southern Europe
Albania,2001,0,4060758804,1451,9,233279,4.218333333,Southern Europe
Albania,2002,0,4435078648,1573,11,234903,5.209166667,Southern Europe
Albania,2003,0,5746945913,2021,10,236994,4.883333333,Southern Europe
Albania,2004,0,7314865176,2544,12,239582,5.449166667,Southern Europe
Albania,2005,0.695,8158548717,2931,0,231943,0,Southern Europe
Albania,2006,0,8992642349,3235,0,231681,0,Southern Europe
Albania,2007,0,10701011897,3863,10,230862,5.4875,Southern Europe
Albania,2008,0,12881352688,4672,13,229754,5.920833333,Southern Europe
Albania,2009,0,12044212904,4387,0,228811,0,Southern Europe
Albania,2010,0.722,11926953259,4359,8,228002,3.471666667,Southern Europe
Austria,2000,0.836,1.97E+11,25922,132,632672,24.1475,Western Europe
Austria,2001,0,1.97E+11,25848,124,636213,21.82583333,Western Europe
Austria,2002,0,2.13E+11,27772,129,640263,23.07666667,Western Europe
Austria,2003,0,2.62E+11,33889,121,643502,21.42166667,Western Europe
Austria,2004,0,3.01E+11,38711,118,647758,21.17,Western Europe
Austria,2005,0.853,3.16E+11,40367,116,652288,19.60416667,Western Europe
Austria,2006,0,3.36E+11,42698,108,655772,18.24166667,Western Europe
Austria,2007,0,3.89E+11,49218,107,658106,18.10916667,Western Europe
Austria,2008,0,4.30E+11,54294,105,660438,18.0375,Western Europe
Austria,2009,0,4.00E+11,50356,106,662241,17.76833333,Western Europe
Austria,2010,0.879,3.92E+11,49181,105,664035,17.29583333,Western Europe
Austria,2011,0.881,4.31E+11,53923,107,666262,17.62416667,Western Europe
Austria,2012,0.884,4.09E+11,50979,106,669273,17.21916667,Western Europe
Austria,2013,0.884,4.30E+11,53229,107,673301,17.67666667,Western Europe
Austria,2014,0.885,4.42E+11,54278,109,678430,17.485,Western Europe
Austria,2015,0,3.82E+11,46484,104,684948,16.21833333,Western Europe
Austria,2016,0,3.91E+11,46976,120,748462,18.323,Western Europe
Belarus,2000,0.683,12736856828,1335,290,795289,37.275,Eastern Europe
Belarus,2001,0,12354820144,1299,275,792798,34.97083333,Eastern Europe
Belarus,2002,0,14594249023,1541,274,789102,34.25,Eastern Europe
Belarus,2003,0,17827791321,1892,288,785057,37.07166667,Eastern Europe
Belarus,2007,0,45277399814,4898,221,770371,29.6575,Eastern Europe
Belarus,2008,0,60763483146,6601,221,767145,29.34666667,Eastern Europe
Belarus,2009,0,49209523810,5366,228,764164,31.295,Eastern Europe
Belarus,2010,0.786,57222490769,6371,204,748432,27.665,Eastern Europe
Belarus,2011,0.793,61757788945,6902,181,745610,24.94666667,Eastern Europe
Belarus,2013,0.796,75527984234,8477,158,742520,22.77666667,Eastern Europe
Belarus,2014,0.798,78813839984,8849,145,742248,21.07583333,Eastern Europe
Belgium,2000,0.874,2.38E+11,24592,178,806168,22.31666667,Western Europe
Belgium,2001,0,2.38E+11,24494,180,809171,21.76833333,Western Europe
Belgium,2002,0,2.59E+11,26526,173,813214,20.655,Western Europe
Belgium,2003,0,3.19E+11,32538,174,817010,20.7275,Western Europe
Belgium,2004,0,3.71E+11,37661,165,820668,19.255,Western Europe
Belgium,2005,0.866,3.87E+11,39124,169,825084,19.3125,Western Europe
Belgium,2006,0,4.10E+11,41135,161,830225,17.90833333,Western Europe
Belgium,2007,0,4.72E+11,47040,154,835855,17.38083333,Western Europe
Belgium,2008,0,5.19E+11,51345,166,841737,18.46166667,Western Europe
Belgium,2009,0,4.85E+11,47630,167,847780,18.19583333,Western Europe
Belgium,2010,0.883,4.84E+11,47355,167,850930,18.34833333,Western Europe
Belgium,2011,0.886,5.27E+11,50893,174,862927,18.8925,Western Europe
Belgium,2012,0.889,4.98E+11,47678,168,870219,18.09416667,Western Europe
Belgium,2013,0.888,5.21E+11,49489,157,877179,16.79583333,Western Europe
Belgium,2014,0.89,5.31E+11,50173,158,881570,16.82083333,Western Europe
Belgium,2015,0,4.55E+11,42830,155,885363,16.38833333,Western Europe
Bosnia and Herzegovina,2011,0.724,18644723861,5076,0,306109,0.109166667,Southern Europe
Bosnia and Herzegovina,2014,0.733,18558343508,5079,26,304514,9.125,Southern Europe
Bulgaria,2000,0.713,13153016531,1680,115,652424,21.60166667,Eastern Europe
Bulgaria,2001,0,14075616789,1854,109,632660,20.385,Eastern Europe
Bulgaria,2002,0,16276456428,2157,109,628700,20.6125,Eastern Europe
Bulgaria,2003,0,20982685981,2800,91,624430,17.30416667,Eastern Europe
Bulgaria,2004,0,25957970922,3485,84,620630,15.34333333,Eastern Europe
Bulgaria,2005,0.749,29636617750,4003,81,617004,14.83833333,Eastern Europe
Bulgaria,2006,0,34130122491,4638,81,613209,15.54416667,Eastern Europe
