generation,year,suicides_no,population,suicide_rate,HDI_for_year,gdp_for_year,gdp_per_capita
Boomers,2000,783.8472222,2845248.361,23.34805556,0.732305556,2.67674E+11,15722.30556
Boomers,2001,802.1571429,2953704.686,23.63414286,0,2.80002E+11,15075.57143
Boomers,2002,784.7714286,2966267.029,22.86157143,0,3.05741E+11,16577.65714
Boomers,2003,761.3428571,2979676.986,22.39971429,0,3.71653E+11,20194.54286
Boomers,2004,752.1969697,3080024.97,21.17287879,0,4.51402E+11,24117.21212
Boomers,2005,682.1176471,2991402.324,20.33514706,0.781,4.64045E+11,27115.76471
Boomers,2006,651.2121212,3090707.227,18.46469697,0,5.16149E+11,27705.69697
Boomers,2007,598.7142857,3004679,18.13228571,0,5.75147E+11,31348.45714
Boomers,2008,593.5571429,3009367.143,19.32857143,0,6.29038E+11,33982.88571
Boomers,2009,602.3714286,3009059.829,20.019,0,5.53772E+11,29769.85714
Boomers,2010,0,0,0,0,0,0
Boomers,2011,409.8484848,2323846.273,19.62636364,0.82530303,6.57566E+11,34342.21212
Boomers,2012,415.65625,2401781,19.8840625,0.83190625,6.50635E+11,33868.0625
Boomers,2013,395.375,2305976.516,19.83453125,0.8351875,6.74414E+11,35454.90625
Boomers,2014,385.8970588,2341974.559,18.54852941,0.831382353,6.50099E+11,34178.41176
Boomers,2015,422.1153846,2660560.673,19.50942308,0,6.0782E+11,32605.15385
Boomers,2016,214.1875,1153069.688,22.05125,0,2.81812E+11,34262.625
G.I. Generation,2000,171.7777778,593809.125,35.01402778,0.732305556,2.67674E+11,15722.30556
G.I. Generation,2001,0,0,0,0,0,0
G.I. Generation,2002,0,0,0,0,0,0
G.I. Generation,2003,0,0,0,0,0,0
G.I. Generation,2004,0,0,0,0,0,0
G.I. Generation,2005,0,0,0,0,0,0
G.I. Generation,2006,0,0,0,0,0,0
G.I. Generation,2007,0,0,0,0,0,0
G.I. Generation,2008,0,0,0,0,0,0
G.I. Generation,2009,0,0,0,0,0,0
G.I. Generation,2010,0,0,0,0,0,0
G.I. Generation,2011,0,0,0,0,0,0
G.I. Generation,2012,0,0,0,0,0,0
G.I. Generation,2013,0,0,0,0,0,0
G.I. Generation,2014,0,0,0,0,0,0
G.I. Generation,2015,0,0,0,0,0,0
G.I. Generation,2016,0,0,0,0,0,0
Generation X,2000,248.6944444,1402231.701,14.47708333,0.732305556,2.67674E+11,15722.30556
Generation X,2001,299.4714286,1467741.129,16.24557143,0,2.80002E+11,15075.57143
Generation X,2002,299.4571429,1456279.629,16.78728571,0,3.05741E+11,16577.65714
Generation X,2003,282.7857143,1456121.714,15.21014286,0,3.71653E+11,20194.54286
Generation X,2004,279.8030303,1499122.636,14.33606061,0,4.51402E+11,24117.21212
Generation X,2005,263.8382353,1455317.25,14.08632353,0.781,4.64045E+11,27115.76471
Generation X,2006,258.7878788,1501072.985,12.15287879,0,5.16149E+11,27705.69697
Generation X,2007,249.0428571,1461246.543,13.57871429,0,5.75147E+11,31348.45714
Generation X,2008,242.3428571,1468532.271,13.48085714,0,6.29038E+11,33982.88571
Generation X,2009,248.3285714,1474233.071,13.47542857,0,5.53772E+11,29769.85714
Generation X,2010,410.8161765,2301223.522,15.88691176,0.822294118,5.78877E+11,30700.91176
Generation X,2011,574.3030303,3155313.591,18.06681818,0.82530303,6.57566E+11,34342.21212
Generation X,2012,568.5625,3208883.563,18.25265625,0.83190625,6.50635E+11,33868.0625
Generation X,2013,525.390625,3036190.047,18.01625,0.8351875,6.74414E+11,35454.90625
Generation X,2014,509.1470588,3053354.971,16.76720588,0.831382353,6.50099E+11,34178.41176
Generation X,2015,538.5961538,3407467.365,16.68942308,0,6.0782E+11,32605.15385
Generation X,2016,220.5625,1403623.313,17.963125,0,2.81812E+11,34262.625
Generation Z,2000,0,0,0,0,0,0
Generation Z,2001,0,0,0,0,0,0
Generation Z,2002,0,0,0,0,0,0
Generation Z,2003,0,0,0,0,0,0
Generation Z,2004,0,0,0,0,0,0
Generation Z,2005,0,0,0,0,0,0
Generation Z,2006,0,0,0,0,0,0
Generation Z,2007,7.557142857,1065950.4,0.548428571,0,5.75147E+11,31348.45714
Generation Z,2008,6.871428571,1055665,0.575285714,0,6.29038E+11,33982.88571
Generation Z,2009,7.442857143,1050542.343,0.492142857,0,5.53772E+11,29769.85714
